fixture_id,league,season,kickoff,home_team,away_team,status,home_goals,away_goals,home_xg,away_xg,o_home,o_draw,o_away,o_btts_yes,o_btts_no,o_over_25,o_under_25
1,Premier League (England),2024,2024-11-06 16:00:00,Pre-Team-08,Pre-Team-10,FINISHED,1.0,0.0,0.9,1.08,2.44,3.01,3.11,2.45,1.56,3.06,1.39
2,Premier League (England),2024,2024-11-06 13:00:00,Pre-Team-06,Pre-Team-07,FINISHED,4.0,0.0,1.94,1.36,1.67,4.45,4.25,1.57,2.43,1.52,2.54
3,Premier League (England),2024,2024-11-06 16:00:00,Pre-Team-15,Pre-Team-11,FINISHED,1.0,1.0,1.09,1.65,3.39,3.62,2.04,1.85,1.94,2.03,1.79
4,Premier League (England),2024,2024-11-06 21:00:00,Pre-Team-13,Pre-Team-09,FINISHED,1.0,0.0,1.15,0.86,2.37,2.78,3.55,2.98,1.37,3.96,1.25
5,Premier League (England),2024,2024-11-06 16:00:00,Pre-Team-02,Pre-Team-03,FINISHED,2.0,0.0,1.7,0.69,1.67,3.57,5.44,2.52,1.54,2.61,1.51
6,Premier League (England),2024,2024-11-06 21:00:00,Pre-Team-14,Pre-Team-16,FINISHED,1.0,1.0,0.45,0.95,3.82,2.44,2.59,3.94,1.25,6.12,1.13
7,Premier League (England),2024,2024-11-06 18:00:00,Pre-Team-05,Pre-Team-12,FINISHED,1.0,0.0,1.9,0.97,1.72,3.81,4.63,2.0,1.82,2.06,1.78
8,Premier League (England),2024,2024-11-06 13:00:00,Pre-Team-01,Pre-Team-04,FINISHED,1.0,1.0,0.73,1.18,3.16,3.61,2.11,1.84,1.98,2.02,1.82
9,La Liga (Spain),2024,2024-11-06 13:00:00,La -Team-15,La -Team-09,FINISHED,2.0,1.0,1.81,1.16,1.71,4.21,4.17,1.65,2.25,1.64,2.28
10,La Liga (Spain),2024,2024-11-06 21:00:00,La -Team-08,La -Team-11,FINISHED,0.0,1.0,1.1,0.56,2.35,2.67,3.79,3.28,1.34,4.52,1.21
11,La Liga (Spain),2024,2024-11-06 13:00:00,La -Team-14,La -Team-10,FINISHED,0.0,1.0,1.33,1.02,1.87,3.52,4.13,2.15,1.7,2.34,1.61
12,La Liga (Spain),2024,2024-11-06 21:00:00,La -Team-01,La -Team-02,FINISHED,2.0,4.0,1.79,1.61,2.33,4.13,2.55,1.43,2.81,1.45,2.75
13,La Liga (Spain),2024,2024-11-06 13:00:00,La -Team-13,La -Team-04,FINISHED,2.0,0.0,0.72,0.74,2.51,2.73,3.41,3.1,1.37,4.24,1.23
14,La Liga (Spain),2024,2024-11-06 18:00:00,La -Team-03,La -Team-05,FINISHED,2.0,1.0,1.44,2.23,5.06,4.93,1.51,1.51,2.59,1.39,3.01
15,La Liga (Spain),2024,2024-11-06 18:00:00,La -Team-16,La -Team-07,FINISHED,3.0,0.0,1.0,0.96,2.44,3.01,3.11,2.46,1.55,3.07,1.38
16,La Liga (Spain),2024,2024-11-06 16:00:00,La -Team-12,La -Team-06,FINISHED,3.0,0.0,2.09,0.87,1.65,3.85,5.25,2.17,1.69,2.18,1.69
17,Serie A (Italy),2024,2024-11-06 16:00:00,Ser-Team-15,Ser-Team-12,FINISHED,1.0,3.0,0.55,0.96,3.69,3.37,2.04,2.15,1.71,2.45,1.56
18,Serie A (Italy),2024,2024-11-06 18:00:00,Ser-Team-06,Ser-Team-09,FINISHED,1.0,0.0,0.36,1.03,5.69,2.3,2.21,5.51,1.15,8.51,1.07
19,Serie A (Italy),2024,2024-11-06 13:00:00,Ser-Team-08,Ser-Team-10,FINISHED,1.0,0.0,1.52,2.93,5.26,5.57,1.44,1.35,3.24,1.23,4.36
20,Serie A (Italy),2024,2024-11-06 16:00:00,Ser-Team-16,Ser-Team-07,FINISHED,1.0,3.0,1.47,1.79,3.38,3.82,1.97,1.72,2.12,1.82,2.01
21,Serie A (Italy),2024,2024-11-06 16:00:00,Ser-Team-14,Ser-Team-13,FINISHED,0.0,0.0,1.36,0.89,2.13,2.92,4.03,2.86,1.43,3.62,1.3
22,Serie A (Italy),2024,2024-11-06 16:00:00,Ser-Team-02,Ser-Team-05,FINISHED,1.0,2.0,0.92,0.6,2.76,2.71,3.04,3.08,1.39,4.23,1.23
23,Serie A (Italy),2024,2024-11-06 21:00:00,Ser-Team-04,Ser-Team-11,FINISHED,0.0,0.0,1.29,0.47,1.58,3.61,6.68,2.79,1.45,2.79,1.45
